subject,content,copy_recipient,recipient,sender
 匹夫無罪，懷璧其罪是不是很有智慧？,有句諺語，匹夫無罪，懷璧其罪，意思是平凡老百姓本來沒事，但是得到寶玉後，就會惹 禍上身。  每個人都想追求幸福生活，台積電努力發展，做的是美國人不想幹的髒活、累活，幹得有 聲有色，美國爸爸一句話，就全部拿回去。  不過，如果晶片代工真的很好做？美國人當初怎麼可能外包給韓國人、台灣人？  未來搞爛了，就在丟給其他小弟...  所以說，匹夫無罪，懷璧其罪，真的很有道理啊？  有沒有鄉民也這樣想的啊？請問有解卦的嗎？  -- ,sam hoo,劉冠卓,Willy
 跟偽娘交往是什麼感覺？？, 前面有個跟貧乳妹交往  這個很常見   那麼跟同樣是貧乳的偽娘交往   是什麼感覺？  摸一摸對方也會前凸後翹  還不會越想越不對勁  而且比較好配合沒有生理期  不過可能對方是1要做好被肛的準備  歐美av一大堆偽娘跟人妖幹粗壯猛漢白人黑人的影片     那麼跟偽娘在一起是什麼感覺？    ----- Sent from JPTT on my Samsung SM-G781B.  -- ,,陳韋作,morenove
 非核家園是不是真的可以達成？, 台積等高科技耗能產業搬走後，是不是就不缺電，政策就可以達標？？  至於你各位的房貸，怎麼辦？  有沒有掛？  ----- Sent from JPTT on my Samsung SM-S9080.  -- ,魆影吳、可可顏,林阿鋒,陳韋作
 小人國為什麼可以經營那麼久不會倒?,龍潭小人國阿  30年前校外教學去 跟現在帶小孩去 設施幾乎沒更新過  連桃園機場都還是以前的造型 連台北101都懶得做  遊樂設施也都是舊的 園內餐點有夠難吃  這樣可以撐30年沒倒是不是蠻厲害的 有八卦嗎???  -- ,,寧波雙六,小布
 台語歌王翁立友現在在幹嘛？,  翁立友的歌都蠻好聽的  印象中做人也很幽默  電視上會講笑話  但好像現在很少出現在螢光幕了  他現在在幹嘛  還有出新專輯嗎？   ---- Sent from ,葛闢藏鏡人、Qiu、楊皓渝,L337,lin amis
 萊爾富為什麼可以經營那麼久不會倒？, 四大超商之尾  店數很少  裡面的裝潢暗暗的  味道也有點奇怪  賣的東西品項少  微波食品也比不上小7跟全家      到底是怎麼撐到現在的？  -- ,陳韋作、Weizeny,楊梓民,Hannibal Hsu
 日本拍First Love，我們該拍哪首,94啊  最近網飛讓宇多田的First Love重返榮耀  反觀台灣當年站在華語樂壇頂峰也出盡經典歌曲  如果要挑一首拍成台劇來比拼，改選誰的歌呢?    -- ,Derong Hong,J maximator,D DCCC
 被說長得很誠懇是什麼意思？,我舉我朋友阿華的例子  大概就是…  古意，老實，乖乖的，孝順，顧家  看起來使命必達，暖男  看起來電腦很厲害  你是工程師嗎？  好像很會修電器  行走atm  etc…  -- ,,Hao He,27嚴承翰
 雞排妹跟三斤掉到水裡你會救誰,我是選三斤，漂亮有腦，只是嘴巴很利，要相處一輩子也不容易  雞排妹是漂亮沒腦，脾氣應該也很大，要相處一輩子也不容易  三斤沒奶，雞排妹有奶，沒奶要相處一輩子也不容易  簡而言之，兩個都救起來短暫交往到結婚，結婚還是挑素一點的各方面都平均一點的就好  這兩個只能當女友吧，當老婆真的要相處一輩子非常不容易。   ,楊皓渝、黑雅,初日,﻿張伯潤
 房價要崩了嗎,1.台雞店赴美設廠 2.炒房黨大獲全敗 3.少子化 4.升息  北市房價有機會10萬/p收嗎？ ---- Sent from ,Achang、hao chang,YKX _,YuLung Chen
 有人知道日本的雨多甜嗎, 如題  剛剛女朋友問我日本的雨多甜  啊我又沒去過日本  怎麼知道日本的雨到底多甜  有人知道嗎 ----- Sent from JPTT on my iPhone  -- ,Craig、寧波雙六,某大大,Mono Google
  美國掏空台積電 中共為何這麼崩潰, 安安大家好  美國掏空台灣技術  那照理說中共統一台灣  就可以打的更沒有後顧之憂  為什麼現在中共會這麼崩潰  一堆五毛早八晚五在八卦洗版  有卦嗎 ----- Sent from JPTT on my iPhone  -- ,Boris、Rry La、Lider985,Rry La,佐冬塔天
 台灣會變成底特律嗎？,底特律在加拿大北邊（不信可以看地圖）  房價曾經很高  後來破產了  據說一棟房子一美金都沒人要  然後警察局消防隊因為政府沒錢  就全部關掉  治安就非常恐怖  台灣會變成底特律嗎？  有沒有八卦？  -- ,凱,某大大,陳亮生
 為什麼我們台灣不能勇敢反抗美國,最近 我們台灣地區製造芯片的台積電 去美國投資  蓋了5納米的芯片廠 過兩年又會有3納米的芯片廠在美國  為什麼 為什麼我們台灣沒辦法勇敢的反抗美國  阻止芯片廠在美國設廠？？？  有沒有八卦阿？  -- ,A7sHeNLe、D DCCC,Slim Paint,信浅野
 美籍台積員工正常下班後都在幹嘛,餓死抬頭 在鳥不生蛋的亞州沙漠 早早下班回家後也沒什麼好玩的 為什麼美國台積人不留下來 在廠區加班賺錢拼經濟 他們是不是不懂什麼叫培養競爭力啊？  乾五八卦  -- ,Hsin Yen Hsieh、OldYuanshen,夢想JT,夜狼
[新聞] 呂秀蓮：3年不到300萬人背棄蔡英文　4原,其實我覺得三年300萬人背棄她  這邏輯不太對  要想想2020蔡英文為什麼贏  不是他上一屆做的好  而是大家太害怕韓導上了  所有的關鍵都在"辣個男人"   不然如果大家有印象  2020前一兩年的滿意度  蔡英文一度剩下15%左右  如果不是這麼爛 賴清德也不可能出來跟他拚初選  結論就是  蔡根本不是個當總統的料  從第一屆就已經不行了  只是當初芒果乾太好賣了  你我都推了一把...              ,SHANG SIANG DAI,歌蝸牛,Derek871
[新聞] 中國外交部：習近平12/7出訪沙烏地阿拉伯, 1.媒體來源: ,Mono Google、蘇兆民、台灣黑熊-Taiwan,菜G一只,Lucifer
[新聞] 3越南亮妹來台念大學淪賣淫 恩客數爆表,1.媒體來源: 中時  2.記者署名: 戴志揚  3.完整新聞標題: 3越南亮妹來台念大學淪賣淫 恩客數爆表價碼曝光  4.完整新聞內文:  ,,OldYuanshen,D DCCC
 加拿大政府:台灣機車騎士極其魯莽, 摘錄自 CNN 旅遊  美國國務院警告說：“對穿梭於車流中的許多小型摩托車和摩托車保持警惕……過馬路時 要格外小心，因為許多司機不尊重行人的通行權。”  加拿大政府:台灣機車騎士不遵守交通法規。他們極其魯莽  最近在台灣瘋傳的一個 Facebook 頁面毫不留情地說：“台灣是行人的人間地獄。” 該 頁面成立於 2021 年 12 月，一年後擁有近 13，000 名粉絲。  該網頁的創始人 Ray Yang 在澳大利亞墨爾本生活了一段時間後回到了他的祖國台灣，他 說，駕車者“差點被撞”的逆向文化衝擊促使他開設了這個網頁。  ,陳永陽,HCKY,Taylor Wang
 把高耗能產業趕到美國484傑出的一手？, 台灣重視環保跟勞工權益  為了長期永續的發展  把高耗能高工時的產業趕到美國  讓白猴子承擔能源成本跟污染還有工時  研發中心留在台灣     這樣其實是傑出的一手吧？  國際談判專家戰績+1  -- ,Amano Kazuhira、neko fake,27嚴承翰,chiu chiu
 突然很想喝巧克力牛奶？,嗯吶  不知道大家有沒有這種經驗  就是有時候啊  突然超想喝巧克力牛奶的  而且是想喝到  會直接去超商買一公升的來灌自己  醬子是為什麼啊？  有人知道咪？   -- 蘿莉銘 身不在高，米四就行，胸不在大，有型則靈，斯是蘿莉，為吾是侵。 洋裝貓耳朵，小嘴大眼睛。短髮很俏麗，長髮也飄逸。可以給糖果，玩親親。 無八卦之亂耳，無血拼之勞行。學校游泳室，公園小涼亭。吾自云：能萌就行  -- ,,JaJa的奇妙邏輯 _YT_,金仔
[新聞] 高虹安「一句話」成涉貪關鍵？鄭運鵬：,1.媒體來源: 聯合  2.記者署名:  3.完整新聞標題: 高虹安「一句話」成涉貪關鍵？鄭運鵬：恐有串證嫌疑  4.完整新聞內文: 剛當選新竹市長的民眾黨立委高虹安，選前捲入立院助理費風波，甚至傳出她為此事曾向 助理們表明「會有人搞定司法」。對此，民進黨立委鄭運鵬表示，在檢察官的認知上，如 果嫌疑人說「有人會搞定司法」，可能就會被認定有串證嫌疑，申請羈押了。  鏡周刊今天報導，高虹安前辦公室主任黃惠玟近日配合檢調辦案，並交出以自己綽號「小 兔」所做的帳本，內容包含逾500筆內帳及核銷單據；其中公積金帳目備註欄多次載明委 員請款，其中，黨秘書長謝立功辦的媒體餐敘及黨團午餐費也是由高虹安向公積金請款。  黃惠玟偵訊時透露，當初被要求作帳時就感到不妥，但高虹安助理男友李忠庭要求「這樣 做就對了」，在內帳細節曝光後，高虹安還向前助理們表示不會有事，強調眾人在同艘船 上，「會有人搞定司法。」  鄭運鵬今天在臉書發文，列出羈押要件，而「有事實足認為有湮滅、偽造、變造證據或勾 串共犯或證人之虞者」也在其中。如果嫌疑人說「有人會搞定司法」，在檢察官的認知上 ，可能就會被認定有串證嫌疑，申請羈押。他也強調這是司法實務，不是在開嗆。  5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結: ,,A7sHeNLe,現在呢
 過去是不是委屈台積電了????????,過去是不是委屈台積電了?   跟很多在台灣出生的強者一樣   如果不是生在台灣   是在美國   現在應該不只這樣   對吧   來吧   美國都給你發展   要甚麼   你就說           沒錯吧    雞雞小的   遇到強者   見到別人好    會崩潰   對吧?????????????????????????   弱者懦夫   無法面對事實    聽到事實   會崩潰   對吧????????????????    -- ,神奇鹿,寧波雙六,Ti an
 高雄人說不喜歡3奈米,近來最夯的話題之一就是台gg 台gg去,YES MY余、Jeffery Chao,walk junny,阿舜
 誰才是日本第一歌姬,宇多田光：First Love紅了幾十年，紅到今天  濱崎步：和宇多田同期，又性感又會跳，但近年來不常看到  安室奈美惠：紅到連臺灣偶像劇都取她名字諧音當劇名，還和Jolin合唱出過MV   誰才是日本第一歌姬？  -- ,龍触发兔、嵛燼,太菲鴨,湯小雨
 當離婚證人會倒楣?, 誒誒誒  我朋友說他配偶終於簽了離婚協議  雙方都各自管理財產  小孩共同撫養  我想他們感情不好很久了  就幫簽離婚證人  簽完才聽說會倒楣  是真的嗎？  可是窩真的狠為他高興誒  有簽證人會倒楣的八卦嗎？  -- ,D DCCC、Aranlee Wu,ININ!,NeetAllen
[新聞] 台北市長選後檢討 高嘉瑜點出陳時中敗因,備註請放最後面 違者新聞文章刪除  1.媒體來源: 聯合   2.記者署名: 林縉明  3.完整新聞標題: 台北市長選後檢討 高嘉瑜點出陳時中敗因   4.完整新聞內文: 九 合一選舉民進黨慘敗，針對前衛福部長陳時中在選舉期間的問題，民進黨立委高嘉瑜今天 表示，選舉但很多活動，但都是基本盤，很多民眾質疑，對手蔣萬安、黃珊珊都有到場， 反而是陳時中沒去，行程安排上有問題，如何跨出同溫層是事後檢討重要目標。  針對陳時中在南港、內湖得票率未催出，部分民進黨人士把矛頭指向高嘉瑜，高嘉瑜今天 接受網路節目專訪表示，內湖南港是黃珊珊的本命區，在地深耕20多年，因此在黃珊珊在 內湖南港得票率最高，反過來指責他沒有把綠營跟中間選民催出來，這是把因果關係倒置 。  高嘉瑜表示，這次台北市長選舉三腳督，除基本盤外，還要爭取中間選民才有機會勝選， 但選舉期間，候選人舉辦茶會、廟口開講等活動，都是在顧基本盤，很多地方型的活動反 而因為行程無法配合，沒辦法親自到場，變成她代表出席，  高嘉瑜說，在地方上一些團體，希望市長候選人到場聽聽他們的聲音，陳時中不能到場， 但蔣萬安跟黃珊珊卻都親自到場，讓民眾覺得為什麼別人都能到，綠營候選人卻不到場。  高嘉瑜表示，她從未踏入競選總部，也不知道裡面的運作，她仍盡力輔選，但選舉主軸、 內部決策、行程安排等討論，都沒找過他們，都只是被通知候選人有什麼行程，要去哪裡 。   5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結:  ,以翔旋風,D DCCC,高雄阿猛
[新聞] 徐巧芯爆柯宇綸「竊盜縱火」挨告誹謗 北,其實我一開始聽到這個人  還以為是唱歌那個柯有倫  後來才知道他爸是名導演柯一正  作為長期關懷議題、投身抗爭的異議份子  看看他爸的臉書選後都發什麼  ,神奇鹿、Kevin Chen,L337,27嚴承翰
 滑雪 去日本和韓國有差嗎?,嗨大家午安  本魯失業九年自耕農  冬季滑雪 一定要出國  最靠近台灣的大概就日本和韓國  韓國滑雪本魯去過兩次  都在江原道 有人造雪機  雪質算不錯不髒  但聽說日本的雪況更好  還是粉雪  滑雪跌倒像倒在棉花上  都不會痛也不會受傷  但費用日本>>韓國  去滑雪  日本韓國各位選哪邊?  -- 追求幸福時 自己過的最不幸福      當您放棄追求幸福的那一刻 幸福已悄然降臨   -- ,,刀渣版世雄,盧仕其
[新聞] 自稱司法黑道受害者！　當過總統的阿根,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,,高雄阿猛,diamonddevil
[新聞] 快訊／改期宣判！「綠二代」趙介佑販毒詐,不是啦  這新聞也太奇怪了!!!  什麼叫頗受上頭大哥賞識!!    他爸就是北聯幫老大阿  趙介佑陪他爸趙映光去談判，因為覺得對方不尊重他爸，就直接拿刀捅對方欸   為什麼對方到北投區媽祖文化協會前開槍，  因為北投區媽祖文化協會就是北聯幫堂口阿  那趙映光就是北投區媽祖文化協會理事長阿  然後北投區媽祖文化協會既然是"宮廟"  就是歸民進黨金盆洗手，專管宮廟的好人黃承國管理阿    怎麼講的好像趙映光養子不肖無辜受累一樣呢  趙介佑就是完美學習他爸趙映光  他們家人們的興趣就是在家裡藏刀械欸  ,阿契爾、嵛燼、YuLung Chen,粗獷暖男,威翔王
